,count,mean,std,min,25%,50%,75%,max
prv_tv_hf_final_analysis_valid_min,211.0,232.40947867298578,82.32558015478641,13.0,179.0,238.1,289.79999999999995,420.0
prv_tv_hf_pre_final_exclusion_valid_pct,211.0,68.3914691943128,11.65061711926715,2.4,64.7,70.7,74.5,87.5
prv_tv_hf_pre_final_exclusion_valid_min,211.0,325.69526066350716,70.04910438435869,14.2,291.15,331.1,365.29999999999995,499.7
prv_tv_lf_hf_final_analysis_valid_pct,211.0,48.94075829383887,16.604679414847833,2.2,38.8,51.8,61.0,80.7
prv_tv_lf_hf_final_analysis_valid_min,211.0,232.40947867298578,82.32558015478641,13.0,179.0,238.1,289.79999999999995,420.0
prv_tv_lf_hf_pre_final_exclusion_valid_pct,211.0,68.3914691943128,11.65061711926715,2.4,64.7,70.7,74.5,87.5
prv_tv_lf_hf_pre_final_exclusion_valid_min,211.0,325.69526066350716,70.04910438435869,14.2,291.15,331.1,365.29999999999995,499.7
selected_prv_selected_policy_min,211.0,330.4943917725119,53.43996286260582,215.916667,292.3416665,324.0,362.266667,484.966667
selected_prv_clean_kept_min,211.0,274.8565560900474,63.8974557887605,44.383333,241.333333,275.383333,318.0333335,449.416667
selected_prv_clean_kept_pct_of_selected,211.0,83.34063687677725,15.215128673899285,19.460684,76.9116655,88.104131,94.3225355,99.358675
selected_prv_mask_excluded_total_min,211.0,55.639810426540286,52.81701500699945,1.8,18.35,38.0,71.1,308.0
selected_prv_mask_excluded_total_pct_of_selected,211.0,16.65936312322275,15.215128673899285,0.641325,5.6774645,11.895869,23.0883345,80.539316
selected_prv_excluded_apnea_only_min,211.0,26.537756725118484,22.254037444396968,0.766667,9.325,21.083333,35.775,112.566667
selected_prv_excluded_apnea_only_pct_of_selected,211.0,7.982538668246447,6.591447429580825,0.26819,3.041132,6.409455,10.5931055,49.356913
selected_prv_excluded_quality_only_min,211.0,7.1750394881516595,17.588155217134947,0.0,0.3833335,3.183333,7.375,198.983333
selected_prv_excluded_quality_only_pct_of_selected,211.0,2.062035933649289,4.363291826128131,0.0,0.116317,0.944703,2.4468725,47.611262
selected_prv_excluded_desat_only_min,211.0,3.9757504028436017,6.042168684930163,0.0,0.6166665,1.883333,4.9416665,51.516667
selected_prv_excluded_desat_only_pct_of_selected,211.0,1.2095831279620852,1.9074189104466566,0.0,0.194579,0.559836,1.453865,17.20472
selected_prv_excluded_overlap_min,211.0,17.949289099526066,27.634403864129435,0.0,2.0666665,7.083333,22.016667,193.883333
selected_prv_excluded_overlap_pct_of_selected,211.0,5.405205322274882,8.143244038780871,0.0,0.61802,2.165109,7.027293500000001,57.071504
sleep_onset_h_from_start,211.0,0.2389810853080569,0.11826588923685123,0.083333,0.1,0.275,0.316667,0.591667
sleep_midpoint_h_from_start,211.0,4.044352952606635,0.4944818699611483,2.715972,3.6868749999999997,4.0275,4.4082635,5.120556
sleep_end_h_from_start,211.0,7.849724862559243,0.97444150240297,5.331944,7.1415275000000005,7.853611,8.5397225,9.916111
nrem_first_half_rmssd_mean_ms,211.0,36.182564914691945,21.8310324364799,19.896079,25.9383475,29.905211,38.361307499999995,202.642918
nrem_first_half_rmssd_median_ms,211.0,34.920763943127966,21.70923835951791,19.543399,24.6696185,28.929661,36.8233945,195.46517
